ID-LAB;ID-SOFTWARE
4;1
4;2
4;3
4;4
4;5
4;6
8;7
8;8
8;9
5;10
5;11
5;12
9;10
9;11
9;12
9;13
5;2
5;17
5;18
5;19
8;4
4;20
3;21
3;22
3;23
5;21
5;22
5;23
2;2
2;3
2;4
2;24
2;25
3;2
3;4
3;13
3;26
3;7
4;26
4;7
1;15
1;2
1;27
1;28
1;29
1;1
7;9
7;31
7;8
7;33
7;34
1;4
;25
1;35
7;36
8;37
8;38
1;11
1;9
1;39
1;33
8;11
8;10
8;39
8;2
8;33
8;40
6;26
6;11
6;2
2;25
9;4
1;7
1;41
8;42
8;43
8;26
8;44
8;45
8;46
5;42
5;43
5;26
5;44
5;45
5;46
6;42
6;43
6;26
6;44
6;45
6;46
5;14
5;16
15;47
15;48
12;47
12;49
12;50
12;51
13;52
13;53
13;54
13;43
13;55
13;56
14;47
14;50
14;57
14;56
14;58
56;59
56;60
56;47
